Id,week,region_code,region_name,TauxGrippe,year,week_num,month,t,pmer,ff,rr24,u,Id_google,TauxGrippe_google,pop_0_19,pop_20_39,pop_40_59,pop_60_74,pop_75_plus,pop_total,requete_grippe,requete_grippe_aviaire_vaccin,requete_grippe_aviaire_vaccin_porcine_porc_H1N1_AH1N1_A_mexicaine_Mexique_pandemie
5523,201152,42,ALSACE,66,2011,52,12,278.6133064516129,101860.54435483873,3.887701612903226,179.4,83.1875,5523,66,448112,479905,526481,250849,146978,1852325,2,2,2
5524,201152,72,AQUITAINE,24,2011,52,12,282.00670731707316,102447.68292682926,3.1971544715447155,305.3,87.70121951219512,5524,24,732120,765143,896030,516065,344875,3254233,2,2,2
5525,201152,83,AUVERGNE,91,2011,52,12,278.90645161290325,102179.79838709676,3.4139112903225803,106.7,80.45362903225806,5525,91,294709,305778,375485,223830,150880,1350682,3,3,2
5526,201152,25,BASSE-NORMANDIE,49,2011,52,12,281.32720930232557,101840.12403100776,6.089130434782609,336.3,85.22170542635659,5526,49,354514,336201,401766,228888,154315,1475684,2,2,2
5527,201152,26,BOURGOGNE,33,2011,52,12,278.61285714285714,102035.42857142857,4.084897959183674,107.2,88.21632653061225,5527,33,372023,369737,450664,269109,181201,1642734,2,2,1
5528,201152,53,BRETAGNE,50,2011,52,12,282.58863404689095,101888.73297002724,6.4247464503042595,315.3,83.03669724770643,5528,50,780408,757104,866181,492894,321180,3217767,3,2,2
5529,201152,24,CENTRE,30,2011,52,12,280.76693548387095,102018.77016129032,4.320564516129032,274.1,88.70967741935483,5529,30,614629,592449,695479,392862,261416,2556835,3,2,2
5530,201152,21,CHAMPAGNE-ARDENNE,13,2011,52,12,279.6701612903226,101834.4758064516,5.737903225806452,105.2,85.8991935483871,5530,13,324898,328037,365168,196057,121893,1336053,2,2,2
5531,201152,94,CORSE,19,2011,52,12,284.2068548387097,101883.24596774194,3.488508064516129,106.5,67.40120967741936,5531,19,65399,75182,88943,53312,31650,314486,4,0,0
5532,201152,43,FRANCHE-COMTE,20,2011,52,12,285.485666218035,101715.24955950122,3.635222672064778,75.19999999999999,77.3417297938615,5532,20,290000,286318,316818,173479,106825,1173440,4,3,3
5533,201152,23,HAUTE-NORMANDIE,53,2011,52,12,279.65241935483874,101620.80645161292,5.145161290322581,202.9,91.89112903225806,5533,53,469779,459077,499888,255855,154794,1839393,3,3,2
5534,201152,91,LANGUEDOC-ROUSSILLON,95,2011,52,12,283.2019269776876,102260.91277890466,4.776064908722109,7.4,68.4604462474645,5534,95,622980,619529,715033,435841,276663,2670046,2,2,2
5535,201152,74,LIMOUSIN,108,2011,52,12,279.75607287449395,102251.13360323886,3.726315789473684,181.9,91.52631578947368,5535,108,152694,159995,203959,127575,96849,741072,4,3,3
5536,201152,41,LORRAINE,71,2011,52,12,277.9813008130081,101789.0243902439,5.54390243902439,167.0,90.17479674796748,5536,71,555561,594060,658097,336827,206112,2350657,3,2,2
5537,201152,73,MIDI-PYRENEES,23,2011,52,12,280.12775061124694,102483.83863080684,3.5650366748166262,371.2,83.67400162999185,5537,23,661129,703117,792502,441317,305355,2903420,2,2,1
5538,201152,31,NORD-PAS-DE-CALAIS,107,2011,52,12,279.5770161290323,101348.34677419356,5.70725806451613,157.1,85.83064516129032,5538,107,1085537,1074019,1062213,513245,307001,4042015,3,3,3
5539,201152,52,PAYS-DE-LA-LOIRE,15,2011,52,12,281.99637096774194,102043.95161290324,4.013008130081301,157.6,88.50806451612904,5539,15,918142,879018,954546,513503,335904,3601113,3,2,2
5540,201152,22,PICARDIE,61,2011,52,12,280.3961538461539,101440.4858299595,5.973279352226721,178.4,84.37246963562752,5540,61,499506,481778,526267,259503,151101,1918155,3,2,2
