TauxGrippe,region_code,region_name,week,date,saison,tminsol,nbas,n,td,ff,t,u,vv
66,42,ALSACE,201152,2011-12-26,Hiver,275.22142857142853,4.166666666666667,99.30392156862744,276.7125,3.302678571428572,278.52232142857144,88.625,23915.17857142857
24,72,AQUITAINE,201152,2011-12-26,Hiver,275.3642857142857,4.488372093023256,66.36792452830188,278.74642857142857,3.6973214285714286,280.7758928571429,87.72321428571429,15218.75
91,83,AUVERGNE,201152,2011-12-26,Hiver,274.2928571428571,4.083333333333333,76.74545454545455,276.53214285714284,2.1839285714285714,279.44107142857143,82.80357142857143,20417.85714285714
49,25,BASSE-NORMANDIE,201152,2011-12-26,Hiver,276.5071428571428,5.2631578947368425,79.97368421052632,279.0473214285714,4.633928571428571,280.70982142857144,89.44642857142857,19360.714285714286
33,26,BOURGOGNE,201152,2011-12-26,Hiver,275.7928571428571,6.368421052631579,96.88297872340424,277.80892857142857,3.447321428571428,278.70982142857144,94.16964285714286,13320.535714285714
50,53,BRETAGNE,201152,2011-12-26,Hiver,279.22142857142853,6.192660550458716,87.21192052980132,280.37916666666666,5.2422619047619055,282.4321428571428,87.61904761904762,18111.309523809523
30,24,CENTRE,201152,2011-12-26,Hiver,276.72142857142853,6.227272727272728,84.8080808080808,278.6901785714286,3.852678571428572,279.81964285714287,92.86607142857144,11136.607142857143
13,21,CHAMPAGNE-ARDENNE,201152,2011-12-26,Hiver,276.2928571428571,5.0,81.85714285714286,278.0142857142857,4.635714285714286,279.73035714285714,89.01785714285714,12942.857142857143
19,94,CORSE,201152,2011-12-26,Hiver,274.3642857142857,2.5822784810126582,34.1747572815534,276.2044642857143,2.844642857142857,281.5580357142857,70.63392857142857,31589.285714285717
20,43,FRANCHE-COMTE,201152,2011-12-26,Hiver,273.8642857142857,4.439024390243903,88.25961538461539,276.025,2.977678571428572,277.63839285714283,89.83035714285714,17707.14285714286
53,23,HAUTE-NORMANDIE,201152,2011-12-26,Hiver,275.72142857142853,6.612903225806452,88.6067415730337,280.28513513513514,7.071171171171171,282.0581081081081,89.31531531531532,14657.291666666666
95,91,LANGUEDOC-ROUSSILLON,201152,2011-12-26,Hiver,275.43571428571425,3.1780821917808217,47.21153846153846,277.17589285714286,4.413392857142857,281.4232142857143,76.48214285714286,34464.28571428572
108,74,LIMOUSIN,201152,2011-12-26,Hiver,276.43571428571425,5.1020408163265305,86.4795918367347,278.6973214285714,3.597321428571429,280.1098214285714,91.39285714285714,19426.785714285717
