Id,week,region_code,region_name,TauxGrippe,year,week_num,t,ff,u,pres
5523,201152,42,ALSACE,66,2011,52,276.16953125,2.7171875,87.1484375,100088.515625
5524,201152,72,AQUITAINE,24,2011,52,278.9318897637795,2.6393700787401575,91.58267716535433,102322.99212598425
5525,201152,83,AUVERGNE,91,2011,52,276.66484375,2.4187499999999997,86.1796875,95887.734375
5526,201152,25,BASSE-NORMANDIE,49,2011,52,279.9301047120419,5.06,87.57591623036649,101798.32460732984
5527,201152,26,BOURGOGNE,33,2011,52,276.0203125,2.9015625,92.578125,100011.09375
5528,201152,53,BRETAGNE,50,2011,52,280.81666666666666,4.765104166666666,86.921875,102023.203125
5529,201152,24,CENTRE,30,2011,52,277.87890625,3.27890625,92.6171875,101156.015625
5530,201152,21,CHAMPAGNE-ARDENNE,13,2011,52,277.409375,3.6921875,89.46875,101297.03125
5531,201152,94,CORSE,19,2011,52,281.665625,2.75234375,72.8203125,102122.96875
5532,201152,43,FRANCHE-COMTE,20,2011,52,,,,
5533,201152,23,HAUTE-NORMANDIE,53,2011,52,277.9078125,3.7765625,93.953125,100800.625
5534,201152,91,LANGUEDOC-ROUSSILLON,95,2011,52,281.640625,4.940625,69.453125,102392.109375
5535,201152,74,LIMOUSIN,108,2011,52,277.984375,3.1890625,88.34375,97991.09375
5536,201152,41,LORRAINE,71,2011,52,276.478125,3.2484375,92.890625,98472.5
5537,201152,73,MIDI-PYRENEES,23,2011,52,278.5853125,3.198125,83.428125,98349.78125
5538,201152,31,NORD-PAS-DE-CALAIS,107,2011,52,279.2453125,4.6703125,89.5,101876.09375
5539,201152,52,PAYS-DE-LA-LOIRE,15,2011,52,279.3921875,3.490625,90.484375,102604.6875
5540,201152,22,PICARDIE,61,2011,52,279.4453125,4.8875,87.875,101637.03125
5541,201152,54,POITOU-CHARENTES,28,2011,52,279.6734375,4.75703125,90.453125,102084.21875
5542,201152,93,PROVENCE-ALPES-COTE-D-AZUR,20,2011,52,279.712890625,3.96796875,66.93359375,99239.140625
5543,201152,11,ILE-DE-FRANCE,73,2011,52,277.9953125,3.1953125,91.515625,101621.09375
5544,201152,82,RHONE-ALPES,66,2011,52,276.66640625,3.63359375,86.140625,100860.546875
5545,201151,42,ALSACE,79,2011,51,276.9973214285714,3.1866071428571425,86.82142857142857,99857.32142857143
5546,201151,72,AQUITAINE,50,2011,51,281.0526785714286,2.6,91.10714285714286,102341.07142857143
5547,201151,83,AUVERGNE,4,2011,51,277.4732142857143,2.9875000000000003,85.14285714285714,95773.21428571429
5548,201151,25,BASSE-NORMANDIE,13,2011,51,282.0863095238095,5.941666666666667,85.17857142857143,101589.28571428571
5549,201151,26,BOURGOGNE,34,2011,51,276.93571428571425,2.8249999999999997,90.60714285714286,99829.10714285714
5550,201151,53,BRETAGNE,70,2011,51,282.9476047904192,5.088023952095809,84.08383233532935,101908.83928571429
5551,201151,24,CENTRE,36,2011,51,280.3375,2.932142857142857,90.33928571428571,101000.80357142857
