Id,week,region_code,region_name,TauxGrippe,tend,dd,ff,t,td,u,vv,n,nbas,hbas,pres,niv_bar,geop,tend24,tn12,tn24,tx12,tx24,tminsol,tw,raf10,rafper,per,ht_neige,ssfrai,perssfrai,rr1,rr3,rr6,rr12,rr24
5523,201152,42,ALSACE,66,-40.625,203.57142857142858,3.3026785714285714,278.52232142857144,276.7125,88.625,23915.178571428572,99.30392156862744,,689.3478260869565,100397.23214285714,,,,276.3428571428571,,279.8964285714286,,275.22142857142853,,13.4,6.0375000000000005,-10.0,0.0,,,0.0642857142857143,0.19285714285714287,0.4785714285714286,0.807142857142857,1.5642857142857143
5524,201152,72,AQUITAINE,24,-35.44642857142857,198.75,3.6973214285714286,280.7758928571429,278.74642857142857,87.72321428571429,15218.75,66.36792452830188,4.488372093023256,1931.764705882353,101875.0,,,,277.38214285714287,,283.2607142857143,,275.3642857142857,,,6.297321428571428,-10.0,0.0,0.0,-43.663366336633665,0.0625,0.1945945945945946,0.4714285714285714,0.8071428571428572,1.6285714285714286
5525,201152,83,AUVERGNE,91,-36.964285714285715,187.14285714285714,2.1839285714285714,279.44107142857143,276.53214285714284,82.80357142857143,20417.85714285714,76.74545454545455,4.083333333333333,1689.795918367347,98953.39285714286,,,,276.37857142857143,,281.6714285714286,,274.2928571428571,,,4.978571428571429,-10.0,0.0,0.0,-45.27272727272727,0.025,0.08571428571428572,0.14285714285714285,0.35714285714285715,0.7428571428571429
5526,201152,25,BASSE-NORMANDIE,49,-50.44642857142857,214.73214285714286,4.633928571428571,280.70982142857144,279.0473214285714,89.44642857142857,19360.714285714286,79.97368421052632,5.2631578947368425,1506.3013698630136,101294.375,,,,278.4535714285714,,282.6464285714286,,276.5071428571428,,16.46,7.886607142857144,-10.0,0.0,0.0,-46.45161290322581,0.09999999999999999,0.2576576576576577,0.37142857142857144,0.8,0.9166666666666666
5527,201152,26,BOURGOGNE,33,-41.07142857142857,199.01785714285714,3.447321428571428,278.70982142857144,277.80892857142857,94.16964285714286,13320.535714285714,96.88297872340425,6.368421052631579,543.8157894736842,100433.30357142857,,,,276.6642857142857,,279.9607142857143,,275.7928571428571,,,6.461607142857143,-10.0,0.0,0.0,-45.0,0.125,0.35000000000000003,0.9928571428571429,1.5142857142857142,2.8642857142857143
5528,201152,53,BRETAGNE,50,-47.701863354037265,226.60714285714286,5.2422619047619055,282.4321428571428,280.37916666666666,87.61904761904762,18111.309523809523,87.21192052980132,6.192660550458716,829.5302013422819,101924.22360248448,,,,280.55243902439025,,283.73048780487807,,279.22142857142853,,15.556521739130435,9.844642857142858,-10.0,0.0,0.0,-45.38461538461539,0.20609756097560974,0.5158536585365854,0.9349999999999999,2.0100000000000002,1.8923076923076925
5529,201152,24,CENTRE,30,-45.714285714285715,206.33928571428572,3.8526785714285716,279.81964285714287,278.6901785714286,92.86607142857143,11136.607142857143,84.8080808080808,6.2272727272727275,628.9411764705883,101164.19642857143,,,,277.8285714285714,,281.3464285714286,,276.72142857142853,,15.95,7.273214285714286,-10.0,0.0,0.0,-45.18072289156626,0.13392857142857142,0.34464285714285714,0.8357142857142856,1.4357142857142857,2.807142857142857
5530,201152,21,CHAMPAGNE-ARDENNE,13,-43.92857142857143,191.60714285714286,4.635714285714286,279.73035714285714,278.0142857142857,89.01785714285714,12942.857142857143,81.85714285714286,5.0,568.4615384615385,101228.39285714286,,,,277.50714285714287,,281.45,,276.2928571428571,,,7.8875,-10.0,0.0,0.0,-45.0,0.08571428571428572,0.19999999999999998,0.4428571428571429,0.7999999999999999,1.657142857142857
5531,201152,94,CORSE,19,-14.017857142857142,147.32142857142858,2.8446428571428575,281.5580357142857,276.2044642857143,70.63392857142857,31589.285714285714,34.1747572815534,2.5822784810126582,1914.6753246753246,102318.83928571429,,,,277.24285714285713,,285.025,,274.3642857142857,,,4.716964285714285,-10.0,0.0,0.0,-44.11764705882353,0.005357142857142858,0.023214285714285715,0.07142857142857142,0.09285714285714286,0.17142857142857143
5532,201152,43,FRANCHE-COMTE,20,-39.285714285714285,197.94642857142858,2.9776785714285716,277.63839285714283,276.025,89.83035714285714,17707.14285714286,88.25961538461539,4.439024390243903,841.6279069767442,99720.0,,,,275.1535714285714,,279.3892857142857,,273.8642857142857,,,5.738392857142857,-10.0,0.0,0.0,-45.0,0.11071428571428572,0.28214285714285714,0.6571428571428571,1.1642857142857144,2.2714285714285714
5533,201152,23,HAUTE-NORMANDIE,53,-51.62162162162162,230.0,7.071171171171171,282.0581081081081,280.28513513513514,89.31531531531532,14657.291666666666,88.6067415730337,6.612903225806452,640.952380952381,101405.49549549549,,,,280.30185185185184,,283.3351851851852,,275.72142857142853,,18.37272727272727,11.198198198198199,-10.0,0.0,0.0,-45.6,0.2018018018018018,0.609009009009009,0.9571428571428572,2.288888888888889,3.246153846153846
5534,201152,91,LANGUEDOC-ROUSSILLON,95,-30.63063063063063,216.25,4.413392857142857,281.4232142857143,277.17589285714286,76.48214285714286,34464.28571428572,47.21153846153846,3.1780821917808217,2848.0,102024.64285714286,,,,277.75,,284.33214285714286,,275.43571428571425,,17.0,7.246428571428572,-10.0,0.0,0.0,-43.84615384615385,0.016071428571428573,0.04642857142857143,0.12142857142857144,0.18571428571428572,0.39999999999999997
5535,201152,74,LIMOUSIN,108,-39.642857142857146,190.44642857142858,3.5973214285714286,280.1098214285714,278.6973214285714,91.39285714285714,19426.785714285714,86.4795918367347,5.1020408163265305,1292.4705882352941,99779.64285714286,,,,277.90714285714284,,281.6464285714286,,276.43571428571425,,,6.454464285714286,-10.0,0.0,0.0,-44.285714285714285,0.14107142857142857,0.41964285714285715,0.9714285714285714,1.6500000000000001,3.185714285714286
5536,201152,41,LORRAINE,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5537,201152,73,MIDI-PYRENEES,23,-33.214285714285715,207.05357142857142,3.314285714285714,280.05357142857144,276.49107142857144,79.16964285714286,20964.285714285714,58.82716049382716,4.2615384615384615,2400.0,99754.46428571429,,,,276.31428571428575,,282.8857142857143,,273.2928571428571,,,6.304464285714286,-10.0,0.0,0.0,-43.63636363636363,0.06785714285714285,0.21785714285714283,0.2,0.8714285714285713,1.7785714285714285
5538,201152,31,NORD-PAS-DE-CALAIS,107,-51.785714285714285,227.41071428571428,5.898214285714286,281.2892857142857,279.28303571428575,87.47321428571429,19054.054054054053,88.21428571428571,6.670886075949367,642.716049382716,101533.30357142857,,,,279.7,,282.7142857142857,,278.72142857142853,,16.066666666666666,9.75,-10.0,0.0,0.0,-43.6,0.13392857142857142,0.3964285714285714,0.9857142857142858,1.5214285714285716,2.8428571428571425
5539,201152,52,PAYS-DE-LA-LOIRE,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5540,201152,22,PICARDIE,61,-51.785714285714285,227.41071428571428,5.898214285714286,281.2892857142857,279.28303571428575,87.47321428571429,19054.054054054053,88.21428571428571,6.670886075949367,642.716049382716,101533.30357142857,,,,279.7,,282.7142857142857,,278.72142857142853,,16.066666666666666,9.75,-10.0,0.0,0.0,-43.6,0.13392857142857142,0.3964285714285714,0.9857142857142858,1.5214285714285716,2.8428571428571425
5541,201152,54,POITOU-CHARENTES,28,-42.589285714285715,191.69642857142858,3.844642857142857,279.9946428571429,279.02410714285713,93.83928571428571,15236.607142857143,91.10526315789474,5.809523809523809,780.625,101146.07142857143,,,,277.95,,281.4214285714286,,276.8642857142857,,,6.997321428571429,-10.0,0.0,0.0,-44.651162790697676,0.11785714285714287,0.2785714285714286,0.7857142857142857,1.1785714285714286,2.242857142857143
5542,201152,93,PROVENCE-ALPES-COTE-D-AZUR,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5543,201152,11,ILE-DE-FRANCE,73,-49.285714285714285,214.46428571428572,3.916071428571428,280.07142857142856,278.6392857142857,91.05357142857143,13573.214285714286,77.82142857142857,6.170212765957447,665.3191489361702,101498.57142857143,,,,278.05,,281.85714285714283,,276.43571428571425,,15.95,7.1499999999999995,-10.0,0.0,0.0,-45.27272727272727,0.11785714285714287,0.27142857142857146,0.4428571428571429,1.0285714285714287,2.1285714285714286
5544,201152,82,RHONE-ALPES,66,-33.75,147.5,2.2660714285714287,276.60535714285714,275.50714285714287,92.76785714285714,8112.5,91.16071428571429,6.886363636363637,436.3636363636364,100013.03571428571,,,,274.7214285714286,,278.06428571428575,,272.8642857142857,,,4.314285714285714,-10.0,0.0,0.0,-45.0,0.15,0.610909090909091,1.1285714285714286,2.5999999999999996,5.449999999999999
5545,201151,42,ALSACE,79,35.31531531531532,199.73214285714286,3.0348214285714286,277.11160714285717,275.2785714285714,88.26785714285714,25150.89285714286,98.25242718446601,,764.4117647058823,100187.67857142857,,,,275.2714285714286,,278.58214285714286,,274.0071428571428,,13.4,5.5874999999999995,-10.0,0.0,,,0.07142857142857142,0.24821428571428572,0.5,0.9642857142857143,1.9714285714285715
5546,201151,72,AQUITAINE,50,22.678571428571427,238.03571428571428,3.7080357142857143,280.9633928571429,279.08214285714286,88.40178571428571,18029.464285714286,70.3211009174312,5.320987654320987,1167.0454545454545,101738.57142857143,,,,278.29285714285714,,283.1928571428571,,276.2928571428571,,13.9,6.327678571428572,-10.0,0.0,0.0,-43.960396039603964,0.06846846846846846,0.2018018018018018,0.40714285714285714,0.8214285714285714,1.55
5547,201151,83,AUVERGNE,4,29.107142857142858,210.35714285714286,2.455357142857143,279.1767857142857,276.37857142857143,82.83928571428571,19732.14285714286,76.96428571428571,5.545454545454546,805.4545454545455,98764.28571428571,,,,277.0357142857143,,281.3285714285714,,275.15,,,5.2749999999999995,-10.0,0.0,0.0,-45.0,0.0642857142857143,0.16428571428571428,0.27142857142857146,0.6,1.2857142857142858
